VERB,Frequency,POSITIVE,NEGATIVE,NEUTRAL,NONE,DEPEND,notes
accelerate,1,1,0,0,0,0,
access,1,1,0,0,0,0,
account,3,0,0,1,0,0,
achieve,1,1,0,0,0,0,
acquire,1,0,0,0,1,0,
act,1,0,0,1,0,0,
adapt,6,1,0,0,0,0,
add,2,0,0,1,0,0,
address,1,0,0,1,0,0,
adjust,3,0,0,1,0,0,
adopt,6,1,0,0,0,0,
adopt,46,0,0,0,1,0,
advance,6,1,0,0,0,0,
affect,9,0,0,0,0,1,positiv[a-z]*|negativ[a-z]*
aid,6,1,0,0,0,0,
align,2,0,0,0,1,0,
alleviate,2,1,0,0,0,0,
allow,1,1,0,0,0,0,
ally,1,0,0,0,1,0,
alter,1,0,0,1,0,0,
analyse,1,0,0,0,1,0,
analyze,2,0,0,0,1,0,
announce,1,0,0,0,1,0,
appear,2,0,0,1,0,0,
apply,6,0,0,1,0,0,
approach,2,0,0,1,0,0,
appropiate,2,1,0,0,0,0,
ask,1,0,0,0,1,0,
assemble,1,0,0,0,1,0,
assess,1,0,0,1,0,0,
assist,1,0,0,0,1,0,
associate,6,0,0,1,0,0,
assume,1,1,0,0,0,0,
attend,1,0,0,0,1,0,
attribute,1,0,0,1,0,0,
augment,1,1,0,0,0,0,
avail,1,1,0,0,0,0,
avoid,1,0,1,0,0,0,
balance,1,0,0,1,0,0,
be,5,0,0,1,0,0,
be adopt,1,0,0,0,1,0,
be affect,1,0,0,0,1,0,
be attribute,1,0,0,0,1,0,
be confront,1,0,0,0,1,0,
be designate,1,0,0,0,1,0,
be determine,1,0,0,1,0,0,
be develop,1,0,0,0,1,0,
be discuss,1,0,0,0,1,0,
be do,1,0,0,0,1,0,
be employ,1,0,0,0,1,0,
be expand,1,0,0,0,1,0,
be focus,1,0,0,0,1,0,
be gain,1,1,0,0,0,0,
be include,1,0,0,0,1,0,
be perceive,2,0,0,0,1,0,
be perform,1,0,0,0,1,0,
be place,1,0,0,0,1,0,
be promote,1,1,0,0,0,0,
be protect,1,1,0,0,0,0,
be relate,1,0,0,1,0,0,
be report,1,0,0,1,0,0,
be root,1,0,0,1,0,0,
be sell,1,0,0,0,1,0,
be support,1,1,0,0,0,0,
be use,1,0,0,0,1,0,
bear,5,0,0,1,0,0,
become,5,1,0,0,0,0,
believe,1,0,0,0,1,0,
belong,1,0,0,0,1,0,
benefit,1,1,0,0,0,0,
bond,1,0,0,0,1,0,
borrow,1,0,0,0,1,0,
bridge,8,0,0,1,0,0,
bring,1,1,0,0,0,0,
build,8,1,0,0,0,0,
buy,1,0,0,0,1,0,
calculate,1,0,0,0,1,0,
call,1,0,0,0,1,0,
can transfer,1,1,0,0,0,0,
capture,2,0,0,0,1,0,
carry,1,0,0,0,1,0,
categorize,1,0,0,1,0,0,
cater,1,0,0,0,1,0,
cause,2,0,0,0,1,0,
change,9,0,0,1,0,0,
characterise,1,0,0,1,0,0,
check,1,0,0,1,0,0,
choose,6,0,0,0,1,0,
classify,2,0,0,0,1,0,
combat,1,1,0,0,0,0,
combine,3,0,0,1,0,0,
compare,2,0,0,0,1,0,
compensate,1,1,0,0,0,0,
complement,1,0,0,0,1,0,
comprise,1,0,0,0,1,0,
concern,1,0,0,0,1,0,
concur,1,1,0,0,0,0,
connect,1,0,0,1,0,0,
consider,4,0,0,1,0,0,
consist,1,0,0,0,1,0,
constitute,1,1,0,0,0,0,
constrain,2,0,1,0,0,0,
construct,1,0,0,0,1,0,
contest,1,0,0,0,1,0,
contextualize,1,1,0,0,0,0,
contradict,1,0,0,0,1,0,
contribute,4,1,0,0,0,0,
control,1,0,0,1,0,0,
cope,19,0,0,0,1,0,
correlate,1,0,0,1,0,0,
correspond,2,0,0,0,1,0,
corroborate,2,1,0,0,0,0,
could have,1,0,0,0,1,0,
couple,1,1,0,0,0,0,
cover,1,0,0,0,1,0,
create,1,1,0,0,0,0,
curb,1,1,0,0,0,0,
damage,1,0,1,0,0,0,
deal,7,1,0,0,0,0,
decline,1,0,1,0,0,0,
decompose,1,0,1,0,0,0,
decrease,1,0,1,0,0,0,
deem,1,0,0,1,0,0,
define,1,0,0,0,1,0,
delay,2,0,0,0,1,0,
deliberate,11,0,1,0,0,0,
deliver,1,0,0,0,1,0,
demonstrate,2,1,0,0,0,0,
demotivate,11,0,1,0,0,0,
depend,4,0,0,0,1,0,
describe,3,0,0,0,1,0,
design,2,0,0,0,1,0,
determine,6,1,0,0,0,0,
develop,7,1,0,0,0,0,
differ,1,0,0,1,0,0,
differentiate,1,0,0,0,1,0,
diminish,3,0,1,0,0,0,
discuss,2,0,0,0,1,0,
disentangle,3,1,0,0,0,0,
distinguish,1,0,0,0,1,0,
diversify,3,0,0,1,0,0,
document,1,0,0,0,1,0,
dominate,1,0,0,1,0,0,
draw,2,0,0,0,1,0,
drill,1,0,0,0,1,0,
drive,3,1,0,0,0,0,
dry,1,0,0,0,1,0,
educate,1,0,0,0,1,0,
embark,1,0,0,0,1,0,
embrace,1,0,0,0,1,0,
emerge,1,0,0,1,0,0,
emphasise,1,1,0,0,0,0,
emphasize,1,1,0,0,0,0,
employ,6,0,0,0,1,0,
enable,3,1,0,0,0,0,
enact,1,1,0,0,0,0,
encourage,3,1,0,0,0,0,
end,1,0,0,0,1,0,
engage,4,0,0,1,0,0,
enhance,10,1,0,0,0,0,
enrich,1,1,0,0,0,0,
enroll,10,1,0,0,0,0,
ensure,1,1,0,0,0,0,
erode,1,0,1,0,0,0,
establish,1,0,0,0,1,0,
estimate,4,0,0,0,1,0,
evaluate,2,0,0,0,1,0,
evidence,1,0,0,1,0,0,
evolve,1,0,0,1,0,0,
exacerbate,1,0,1,0,0,0,
examine,3,0,0,0,1,0,
exchange,1,0,0,0,1,0,
exhibit,1,1,0,0,0,0,
exist,2,0,0,0,1,0,
explain,4,1,0,0,0,0,
explore,1,0,0,0,1,0,
expose,1,1,0,0,0,0,
face,10,0,0,0,1,0,
facilitate,5,1,0,0,0,0,
fail,1,0,1,0,0,0,
fallowe,1,0,0,0,1,0,
feel,1,0,0,0,1,0,
fill,1,0,0,0,1,0,
find,12,1,0,0,0,0,
focus,2,0,0,1,0,0,
follow,2,0,0,0,1,0,
forecast,1,0,0,0,1,0,
formulate,2,0,0,0,1,0,
foster,1,1,0,0,0,0,
frame,2,0,0,1,0,0,
fund,1,1,0,0,0,0,
further,1,0,0,0,1,0,
gain,5,1,0,0,0,0,
galvanize,1,1,0,0,0,0,
generate,2,1,0,0,0,0,
get,2,1,0,0,0,0,
give,1,0,0,1,0,0,
go,1,0,0,0,1,0,
grow,1,1,0,0,0,0,
guide,3,0,0,0,1,0,
have,39,0,0,0,0,1,positiv[a-z]*|negativ[a-z]*
have adopt,1,0,0,0,1,0,
have increase,1,1,0,0,0,0,
have prevent,1,0,1,0,0,0,
have report,1,0,0,0,1,0,
heighten,2,1,0,0,0,0,
help,2,1,0,0,0,0,
highlight,2,1,0,0,0,0,
hinder,1,0,1,0,0,0,
hypothesize,1,0,0,0,1,0,
identify,9,1,0,0,0,0,
ignore,1,0,1,0,0,0,
impact,2,1,0,0,0,0,
implement,19,1,0,0,0,0,
improve,19,1,0,0,0,0,
include,15,1,0,0,0,0,
incorporate,3,1,0,0,0,0,
increase,23,1,0,0,0,0,
indicate,5,1,0,0,0,0,
induce,1,1,0,0,0,0,
influence,7,1,0,0,0,0,
inform,1,1,0,0,0,0,
ingrain,1,0,0,0,1,0,
integrate,1,1,0,0,0,0,
intend,15,0,0,1,0,0,
intensify,1,1,0,0,0,0,
interpret,2,0,0,0,1,0,
introduce,1,1,0,0,0,0,
invest,6,0,0,0,1,0,
investigate,3,0,0,0,1,0,
involve,3,0,0,1,0,0,
join,1,1,0,0,0,0,
justify,1,0,0,0,1,0,
keep,1,0,0,1,0,0,
know,3,0,0,1,0,0,
lack,1,0,0,0,1,0,
last,1,0,0,0,1,0,
lead,2,1,0,0,0,0,
learn,2,0,0,0,1,0,
leave,2,0,0,0,1,0,
legitimise,2,1,0,0,0,0,
leverage,2,1,0,0,0,0,
limit,1,0,1,0,0,0,
link,6,0,0,1,0,0,
live,1,0,0,0,1,0,
lose,1,0,1,0,0,0,
maintain,2,0,0,1,0,0,
make,7,1,0,0,0,0,
manage,3,1,0,0,0,0,
manifest,1,0,0,0,1,0,
marry,2,0,0,0,1,0,
mask,1,0,0,0,1,0,
measure,6,0,0,0,1,0,
mediate,3,0,0,1,0,0,
mention,6,0,0,1,0,0,
minimize,4,1,0,0,0,0,
mitigate,2,1,0,0,0,0,
monitor,1,0,0,0,1,0,
motivate,1,1,0,0,0,0,
move,1,1,0,0,0,0,
multiply,1,1,0,0,0,0,
need,12,0,0,1,0,0,
neutralize,1,0,0,1,0,0,
note,2,0,0,0,1,0,
observe,6,0,0,0,1,0,
obtain,1,0,0,0,1,0,
occur,2,0,0,0,1,0,
offer,1,0,0,0,1,0,
offset,1,0,0,1,0,0,
operate,3,0,0,0,1,0,
opt,1,1,0,0,0,0,
organize,1,0,0,0,1,0,
overcome,1,0,0,0,1,0,
own,1,0,0,0,1,0,
participate,10,0,0,0,1,0,
pay,1,0,0,0,1,0,
perceive,9,0,0,0,0,1,positiv[a-z]*|negativ[a-z]*
perform,1,1,0,0,0,0,
pinpoint,1,0,0,0,1,0,
plan,2,0,0,0,1,0,
plane,1,0,0,0,1,0,
plant,1,1,0,0,0,0,
play,3,0,0,1,0,0,
point,1,0,0,0,1,0,
port,1,0,0,0,1,0,
pose,1,0,0,0,1,0,
possess,2,0,0,1,0,0,
practice,2,0,0,0,1,0,
predict,3,1,0,0,0,0,
predominate,1,0,0,0,1,0,
prefer,1,0,0,0,1,0,
prepare,3,1,0,0,0,0,
present,5,0,0,0,1,0,
presume,1,0,0,0,1,0,
prevent,3,0,1,0,0,0,
promote,8,1,0,0,0,0,
prompt,8,1,0,0,0,0,
propose,1,0,0,0,1,0,
protect,16,1,0,0,0,0,
prove,1,0,0,0,1,0,
provide,16,1,0,0,0,0,
purchase,4,0,0,0,1,0,
pursue,1,0,0,0,1,0,
put,2,0,0,0,1,0,
raise,3,1,0,0,0,0,
rank,2,0,0,0,1,0,
rate,1,0,0,1,0,0,
reach,1,0,0,1,0,0,
rear,1,1,0,0,0,0,
recognize,1,1,0,0,0,0,
reduce,11,0,1,0,0,0,
refer,1,0,0,0,1,0,
reflect,2,0,0,1,0,0,
regard,6,0,0,0,1,0,
regroup,1,0,0,0,1,0,
rehabilitate,1,1,0,0,0,0,
reimburse,1,1,0,0,0,0,
reinforce,1,0,0,0,1,0,
relate,9,0,0,1,0,0,
rely,4,0,0,0,1,0,
remain,2,0,0,0,1,0,
report,2,0,0,1,0,0,
represent,1,0,0,1,0,0,
require,8,1,0,0,0,0,
reshape,8,1,0,0,0,0,
resolve,2,1,0,0,0,0,
respond,8,1,0,0,0,0,
restore,1,1,0,0,0,0,
restrict,2,0,1,0,0,0,
result,3,1,0,0,0,0,
retard,1,0,1,0,0,0,
reveal,1,1,0,0,0,0,
save,1,0,0,0,1,0,
say,1,0,0,0,1,0,
scale,1,1,0,0,0,0,
score,4,0,0,1,0,0,
see,2,0,0,1,0,0,
seek,7,0,0,0,1,0,
seem,1,0,0,0,1,0,
send,2,0,0,1,0,0,
select,2,0,0,0,1,0,
sell,1,0,0,0,1,0,
serve,1,0,0,0,1,0,
set,1,0,0,0,1,0,
should include,1,1,0,0,0,0,
show,20,0,0,0,0,1,positiv[a-z]*|negativ[a-z]*
signal,1,0,0,1,0,0,
signify,1,0,0,1,0,0,
solve,1,0,0,0,1,0,
speed,1,1,0,0,0,0,
spend,2,0,0,0,1,0,
start,2,0,0,0,1,0,
state,4,0,0,0,1,0,
stem,2,0,0,1,0,0,
strengthen,9,1,0,0,0,0,
study,1,0,0,0,1,0,
suffice,1,0,0,0,1,0,
suffer,2,0,1,0,0,0,
suggest,2,0,0,1,0,0,
summarize,1,0,0,0,1,0,
support,6,1,0,0,0,0,
switch,1,0,0,0,1,0,
tackle,1,1,0,0,0,0,
tailor,1,0,0,0,1,0,
take,14,1,0,0,0,0,
tap,1,1,0,0,0,0,
target,1,0,0,0,1,0,
task,1,0,0,0,1,0,
tend,1,1,0,0,0,0,
test,1,0,0,0,1,0,
threaten,1,0,0,0,1,0,
tradeoff,1,0,1,0,0,0,
train,1,0,0,0,1,0,
trust,1,1,0,0,0,0,
uence,8,0,0,0,0,1,positiv[a-z]*|negativ[a-z]*
understand,1,1,0,0,0,0,
undertake,1,0,0,0,1,0,
upgrade,1,1,0,0,0,0,
upscale,1,0,0,0,1,0,
use,34,0,0,0,0,1,to broad
vary,2,0,0,1,0,0,
want,2,0,0,0,1,0,
widen,1,1,0,0,0,0,
weaken,1,0,1,0,0,0,
will adopt,1,0,0,0,1,0,
will operate,1,0,0,0,1,0,
work,4,1,0,0,0,0,
